uuid_des_sidejobs,Begriff-ID,UUID des Begriffs,begriff
0019e62e-233e-40c7-9951-094ad8ff5283,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
001a29b8-932d-4c96-b7be-25bdec4c1ca1,29647,3b4e469d-51d8-459d-836a-e8f1d45424fc,Entgeltliche Tätigkeiten neben dem Mandat
001cf8df-9248-4b28-be25-6c8a5554b292,29647,3b4e469d-51d8-459d-836a-e8f1d45424fc,Entgeltliche Tätigkeiten neben dem Mandat
002e376d-4f5e-4a45-b510-7a5337ae4dca,29228,b27051ac-69a8-418a-a83c-0efe2a3a0476,Funktionen in Unternehmen
00642094-e12d-47d6-bbdb-62dc178406a6,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
0089f671-6a66-48f4-adec-f88df70a4ac0,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
01101f1c-b99e-458b-87e2-c5c84acd79a6,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
0139c890-9628-44e7-99ce-b8fffd7a5709,29647,3b4e469d-51d8-459d-836a-e8f1d45424fc,Entgeltliche Tätigkeiten neben dem Mandat
019ac431-12f4-4135-8e2a-6c5780ea2f8a,29647,3b4e469d-51d8-459d-836a-e8f1d45424fc,Entgeltliche Tätigkeiten neben dem Mandat
01ba66b7-4eeb-46d0-ae04-aaf744597677,29229,1c002488-11a4-4bfa-a94d-b14661fe8aea,Funktionen in Körperschaften und Anstalten des öffentlichen Rechts
01f3be7c-be2b-42ad-8c1b-4144d13bd98f,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
0212f0fc-ae2a-4b43-9b8e-3f6528d99f6a,29229,1c002488-11a4-4bfa-a94d-b14661fe8aea,Funktionen in Körperschaften und Anstalten des öffentlichen Rechts
0228c137-e6cd-405f-91b5-efc813557e29,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
023d4e14-0b07-46f4-aa57-2ba9bbc1974f,29228,b27051ac-69a8-418a-a83c-0efe2a3a0476,Funktionen in Unternehmen
02ce160d-92da-4503-994f-bac66b18403b,29229,1c002488-11a4-4bfa-a94d-b14661fe8aea,Funktionen in Körperschaften und Anstalten des öffentlichen Rechts
02e15a3e-5559-4671-89f7-b08ebeee27d0,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
030d54d1-1fe4-465f-95e7-694b12c01ecc,29229,1c002488-11a4-4bfa-a94d-b14661fe8aea,Funktionen in Körperschaften und Anstalten des öffentlichen Rechts
035550a4-d1a0-4a29-8fd3-dd518ba186c8,29647,3b4e469d-51d8-459d-836a-e8f1d45424fc,Entgeltliche Tätigkeiten neben dem Mandat
037b15d4-edcf-4646-a5db-8d2455fa4886,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
0390b5b4-dd0e-431c-8481-d4690349ed2c,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
039f47b5-59ee-45fe-bc4a-f66e2db1a0e0,29647,3b4e469d-51d8-459d-836a-e8f1d45424fc,Entgeltliche Tätigkeiten neben dem Mandat
03a2bd17-f115-47bf-8772-e41c70787f5b,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
03c3a33f-723e-4d07-b4f2-04d2f7652df9,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
03c54c7e-9470-457d-9104-6e6d8e2448cc,29647,3b4e469d-51d8-459d-836a-e8f1d45424fc,Entgeltliche Tätigkeiten neben dem Mandat
044eb79c-a745-4612-85c1-311c180f5b02,29229,1c002488-11a4-4bfa-a94d-b14661fe8aea,Funktionen in Körperschaften und Anstalten des öffentlichen Rechts
04697ef5-4e0f-4e31-bf41-8c65eb7c4a79,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
04819d98-a93e-42f1-b24d-f54a9aa11cf5,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
04ac9de7-9db4-4d47-ac75-c5e998f942d1,29228,b27051ac-69a8-418a-a83c-0efe2a3a0476,Funktionen in Unternehmen
04c4787d-7e4e-4ad0-a494-7c1376147000,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
05018f8b-932e-4818-891e-404b2227f6cd,29647,3b4e469d-51d8-459d-836a-e8f1d45424fc,Entgeltliche Tätigkeiten neben dem Mandat
0534a490-41ce-4b5d-9994-78e0598b6f83,29229,1c002488-11a4-4bfa-a94d-b14661fe8aea,Funktionen in Körperschaften und Anstalten des öffentlichen Rechts
05442d06-9172-4244-bf06-7891c7fe979d,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
05471231-2abb-4bc9-a50e-30d94e043e0e,29229,1c002488-11a4-4bfa-a94d-b14661fe8aea,Funktionen in Körperschaften und Anstalten des öffentlichen Rechts
05497034-cd5a-452a-bd53-d09f59969cae,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
058a59ad-8aeb-415d-874a-5a968c07fb9b,29229,1c002488-11a4-4bfa-a94d-b14661fe8aea,Funktionen in Körperschaften und Anstalten des öffentlichen Rechts
0595ac52-189a-4d88-89e3-377444afadc2,29229,1c002488-11a4-4bfa-a94d-b14661fe8aea,Funktionen in Körperschaften und Anstalten des öffentlichen Rechts
05976fad-3dbb-410d-84be-7e10c70966ae,29647,3b4e469d-51d8-459d-836a-e8f1d45424fc,Entgeltliche Tätigkeiten neben dem Mandat
05c7b14a-a2e0-4204-bac1-283ccf6027f8,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
05d3629f-491c-4868-8d14-aa2adc51d2e5,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
061742b6-4799-407e-92ef-a3b9d04bee72,29647,3b4e469d-51d8-459d-836a-e8f1d45424fc,Entgeltliche Tätigkeiten neben dem Mandat
06788a66-e14a-4e2e-937d-29f508c1bce2,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
069ba94d-7869-4ca1-b3f2-7a86b1363b7d,29228,b27051ac-69a8-418a-a83c-0efe2a3a0476,Funktionen in Unternehmen
069dd1c1-407b-41d4-9fb8-467fc66017a4,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
06b815c2-0581-4c5d-992e-dbd6d8cc0dba,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
0724291a-4a68-4ee7-a31b-b09135d828f3,29647,3b4e469d-51d8-459d-836a-e8f1d45424fc,Entgeltliche Tätigkeiten neben dem Mandat
0744e030-337b-414a-a8cd-5d53060149c4,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
0761c6c1-fd9a-48ea-aafa-43893b730c37,29647,3b4e469d-51d8-459d-836a-e8f1d45424fc,Entgeltliche Tätigkeiten neben dem Mandat
0793cbbf-a378-46a7-9a41-b4f6b476a871,29229,1c002488-11a4-4bfa-a94d-b14661fe8aea,Funktionen in Körperschaften und Anstalten des öffentlichen Rechts
07a440a9-e272-4fe4-adf0-fe74972b77dd,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
07c11cb7-abb7-468a-be87-0424a3bdc41f,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
07df008a-d374-41a9-834e-68a72761f6c0,29228,b27051ac-69a8-418a-a83c-0efe2a3a0476,Funktionen in Unternehmen
083ceb08-e953-4e91-b8a5-36d53d61d0e6,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
08601782-064d-4be7-bf22-76e6abf23263,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
086ba4d0-b994-485c-9452-eb845a847c85,29229,1c002488-11a4-4bfa-a94d-b14661fe8aea,Funktionen in Körperschaften und Anstalten des öffentlichen Rechts
08726f01-6ce3-40aa-8713-e6d2d3bf5b61,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
08a3041c-e9fe-4f47-b6f2-d4496e97d3c8,29229,1c002488-11a4-4bfa-a94d-b14661fe8aea,Funktionen in Körperschaften und Anstalten des öffentlichen Rechts
08cd4a06-f44f-4fb5-a348-9ffca7c1662b,29647,3b4e469d-51d8-459d-836a-e8f1d45424fc,Entgeltliche Tätigkeiten neben dem Mandat
08de04ff-b36d-4cd7-ac95-869e61accdb8,29647,3b4e469d-51d8-459d-836a-e8f1d45424fc,Entgeltliche Tätigkeiten neben dem Mandat
0916808b-95c7-4c94-979b-f4c1a199c2df,29647,3b4e469d-51d8-459d-836a-e8f1d45424fc,Entgeltliche Tätigkeiten neben dem Mandat
092164ce-6dc0-4bf7-ae0f-2caf3878ff40,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
095b4f7c-0830-46f9-a975-eb0a98bbe221,29229,1c002488-11a4-4bfa-a94d-b14661fe8aea,Funktionen in Körperschaften und Anstalten des öffentlichen Rechts
09861aa4-1755-491a-9cfd-542001334344,29229,1c002488-11a4-4bfa-a94d-b14661fe8aea,Funktionen in Körperschaften und Anstalten des öffentlichen Rechts
09a1c6ac-f881-4124-b815-da3d5a96a2f8,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
09a1d2ab-74a8-46a9-91c3-6cac5c008177,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
09ab2893-af9b-40de-adc1-3ab4b905212f,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
09ab66a3-1b7e-4447-890a-a8e6ef6c7a17,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
09baa1c8-feb5-4ec5-891a-e7640a6c4c79,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
09ef650b-e02a-4a6e-b630-c5036d76a2d1,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
09f6e7fe-d8c5-49dc-858e-38bdcda1c97d,29229,1c002488-11a4-4bfa-a94d-b14661fe8aea,Funktionen in Körperschaften und Anstalten des öffentlichen Rechts
0a0da5ee-3a58-422b-b16c-18575adfc61c,29647,3b4e469d-51d8-459d-836a-e8f1d45424fc,Entgeltliche Tätigkeiten neben dem Mandat
0a286ce8-d4b0-4f15-93bb-82d7aa509d49,29229,1c002488-11a4-4bfa-a94d-b14661fe8aea,Funktionen in Körperschaften und Anstalten des öffentlichen Rechts
0a34707c-b7ab-45ce-8c8a-4c3a85b81ee8,29647,3b4e469d-51d8-459d-836a-e8f1d45424fc,Entgeltliche Tätigkeiten neben dem Mandat
0a64bcb4-0806-4d0c-bdef-58cdc81f01bd,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
0a7018ab-d2c3-4edc-9477-1709292815e2,29229,1c002488-11a4-4bfa-a94d-b14661fe8aea,Funktionen in Körperschaften und Anstalten des öffentlichen Rechts
0a76a89c-aa53-4955-b099-fe66f88767d1,29229,1c002488-11a4-4bfa-a94d-b14661fe8aea,Funktionen in Körperschaften und Anstalten des öffentlichen Rechts
0aacbc5d-1e55-4bd2-93f1-8bd5f244059f,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
0acd3e81-dff3-45c7-8a3a-c9d707bdd770,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
0ae06d80-b02c-4546-9692-474a322af684,29647,3b4e469d-51d8-459d-836a-e8f1d45424fc,Entgeltliche Tätigkeiten neben dem Mandat
0ae7e560-bec5-4909-b0c3-6e67f6c35218,29228,b27051ac-69a8-418a-a83c-0efe2a3a0476,Funktionen in Unternehmen
0af7a209-a72c-43d1-a340-001cd49f896b,29647,3b4e469d-51d8-459d-836a-e8f1d45424fc,Entgeltliche Tätigkeiten neben dem Mandat
0afdf03e-2367-42d0-91d5-e207dcbcbb95,29229,1c002488-11a4-4bfa-a94d-b14661fe8aea,Funktionen in Körperschaften und Anstalten des öffentlichen Rechts
0b031316-1353-43d3-ad4c-7349a9843f58,29228,b27051ac-69a8-418a-a83c-0efe2a3a0476,Funktionen in Unternehmen
0b679c06-3dbf-4654-ad98-9215247475b2,29647,3b4e469d-51d8-459d-836a-e8f1d45424fc,Entgeltliche Tätigkeiten neben dem Mandat
0b84f668-fbf1-4c98-b3a9-b9ab1aecc82f,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
0b917c76-b90f-4ee3-b72f-3f9d3a56b473,29228,b27051ac-69a8-418a-a83c-0efe2a3a0476,Funktionen in Unternehmen
0be2a9bb-98f6-47b9-a6f2-6caef67725cf,29647,3b4e469d-51d8-459d-836a-e8f1d45424fc,Entgeltliche Tätigkeiten neben dem Mandat
0bfbf59c-4262-474d-b4d5-db5c07e0b710,29647,3b4e469d-51d8-459d-836a-e8f1d45424fc,Entgeltliche Tätigkeiten neben dem Mandat
0c692b4f-7ecc-4f38-9755-173652ccc92f,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
0c6e3ed5-e088-45f5-b4d9-90237be6fdaf,29228,b27051ac-69a8-418a-a83c-0efe2a3a0476,Funktionen in Unternehmen
0c8d7a9c-b81e-40d5-bd36-69f86f8bdb9a,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
0ca475d3-d6db-4471-b583-7d008c39119a,29229,1c002488-11a4-4bfa-a94d-b14661fe8aea,Funktionen in Körperschaften und Anstalten des öffentlichen Rechts
0caeafbf-c9f3-4ecd-8423-e2bf9af466b9,29229,1c002488-11a4-4bfa-a94d-b14661fe8aea,Funktionen in Körperschaften und Anstalten des öffentlichen Rechts
0cc778d7-c71e-4f13-bdf4-8e976cd5d603,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
0cc7b6ee-f263-4313-a67b-66a6c31833e3,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
0cde753e-9b21-42f7-965c-e9fe489c7a7f,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
0cf32e52-8c93-4bb1-8f9d-74e27ddd2153,29228,b27051ac-69a8-418a-a83c-0efe2a3a0476,Funktionen in Unternehmen
0cfce6f8-5c0a-46c4-b25b-600bf5b4f816,29647,3b4e469d-51d8-459d-836a-e8f1d45424fc,Entgeltliche Tätigkeiten neben dem Mandat
0d3476b6-3ba3-43e4-b8db-29294411aa3b,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
0d5f2c31-f63b-4ed7-a09a-3238b3fe371a,29229,1c002488-11a4-4bfa-a94d-b14661fe8aea,Funktionen in Körperschaften und Anstalten des öffentlichen Rechts
0d856a47-727c-482f-937c-e8ff9ed38e58,29647,3b4e469d-51d8-459d-836a-e8f1d45424fc,Entgeltliche Tätigkeiten neben dem Mandat
0d963a6a-c2f0-40b4-a82d-b0382bd2caa1,29647,3b4e469d-51d8-459d-836a-e8f1d45424fc,Entgeltliche Tätigkeiten neben dem Mandat
0da3bbec-0440-4ac6-8806-a7ff2509044f,29228,b27051ac-69a8-418a-a83c-0efe2a3a0476,Funktionen in Unternehmen
0de380a1-4cd8-45ec-84dd-f4b85f80a286,29229,1c002488-11a4-4bfa-a94d-b14661fe8aea,Funktionen in Körperschaften und Anstalten des öffentlichen Rechts
0df574dc-6653-4cba-b213-e182d315d026,29229,1c002488-11a4-4bfa-a94d-b14661fe8aea,Funktionen in Körperschaften und Anstalten des öffentlichen Rechts
0e300bdd-7c89-4359-8809-48ed8b3d2bdc,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
0e643248-9843-45eb-b830-8e8b867730c8,29229,1c002488-11a4-4bfa-a94d-b14661fe8aea,Funktionen in Körperschaften und Anstalten des öffentlichen Rechts
0e82dcde-4bf5-49e9-8f05-89680ba1a55f,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
0e87e3d4-6484-4494-9081-de1706a5b050,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
0ebda3c8-ccbc-49e5-8f57-fce587d89edb,29229,1c002488-11a4-4bfa-a94d-b14661fe8aea,Funktionen in Körperschaften und Anstalten des öffentlichen Rechts
0ed2af98-f726-4280-a6f4-d92658c69ef0,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
0ed74802-b5f1-4b91-abcc-c2aaae92d00f,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
